AssetPath,SourceMB,EstimatedPVRTC_MB,ReductionPercent,ImporterType,UsesAlpha,Classification,PSP2_EffectiveMax,UserTargetMax,PSP2_OutputMax,OriginalFormat,TargetFormat,MipmapsOriginal,MipmapsTarget,ForcedOverride,WillChange
Texture/Items/Emissive/Flashlight_Emissive.tga,0.002,0.000,74.8,Image,TRUE,Color,32,1024,32,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/105 Main/Albedo/105_Trims.tga,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/105 Main/MOAR/105_Trims_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Albedo/Outhouse.png,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Front_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/MOAR/Front_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Back.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Back_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Rear_Trims_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/MOAR/Trim_Front_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/MOAR/Outhouse_MOAR.tga,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/107 Main/Normal/107_Exterior_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,PVRTC_RGB4,PVRTC_RGB4,TRUE,TRUE,NormalMap,FALSE
Texture/SchoolHouse/Emissive/Misc_Ext_Emission.tga,0.021,0.004,81.8,Image,FALSE,Color,128,1024,128,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/107 Main/Albedo/Exterior_Alpha.tga,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/107 Main/MOAR/Exterior_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Glass_NM.tga,0.042,0.008,81.5,Bump,TRUE,Normal,128,1024,128,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/SchoolHouse/Albedo/Exterior.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/MOAR/Schoolhouse_Ext_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Albedo/Deco.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/MOAR/Schoolhouse_Trims_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/107 Main/Albedo/Trims.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/107 Main/MOAR/Trims_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Roof_Porch_Normal.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/MOAR/Roof_Porch_Rails_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Trim_Rear.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/105 Main/Albedo/105_Ext.tga,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/105 Main/MOAR/105_Ext_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Trims_Back_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Front.png,1.000,0.250,75.0,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,FALSE,FALSE,None,TRUE
Texture/SchoolHouse/MOAR/Plaque_Swing_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Foundation_Rear_MOAR.tga,0.667,0.125,81.3,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Roof_Porch_Rails.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Sony UI/Icon.png,0.016,0.008,51.5,Image,TRUE,Color,128,1024,128,DXT1,PVRTC_RGBA4,FALSE,FALSE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Foundation_Front.png,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Particles/Rain_Drop_NormalMap.png,0.011,0.002,82.4,Bump,TRUE,Normal,64,1024,64,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/SchoolHouse/Normal/Deco_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Albedo/Foundation_Rear.png,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,FALSE,None,TRUE
Texture/Roads/Normal/Road_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/SchoolHouse/Normal/Outhouse_NM.png,0.042,0.008,81.5,Bump,TRUE,Normal,128,1024,128,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/SchoolHouse/Normal/Misc_Ext_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Decals/Normal/Road_Damage_Decal_Sheet_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/107 Main/Normal/107_Trims_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Foliage/Normal/RedOakBark_NM.tga,0.011,0.002,82.5,Bump,TRUE,Normal,128,1024,128,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/SchoolHouse/Normal/Exterior_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Items/Normal/Flashlight_NM.tga,0.003,0.000,84.5,Bump,TRUE,Normal,32,1024,32,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Enemy/Meat_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Particles/Ring_NM.jpg,0.003,0.000,84.5,Bump,TRUE,Normal,32,1024,32,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Foliage/Normal/MapleBarkNM.png,0.011,0.002,82.3,Bump,TRUE,Normal,128,1024,128,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Particles/Rain_Drop_Alpha.tga,0.006,0.002,65.9,Image,TRUE,Color,64,1024,64,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Game UI/Stamina_Full.png,0.032,0.008,75.4,Sprite,TRUE,UI,2048,1024,1024,DXT5,PVRTC_RGBA4,FALSE,FALSE,UI,TRUE
Texture/Player/Michael/Body_NM_B.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Game UI/Lightning_Overlay.png,1.001,0.063,93.8,Cursor,TRUE,Color,512,1024,512,DXT1,PVRTC_RGBA4,FALSE,FALSE,None,TRUE
Texture/SchoolHouse/Normal/Grass_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Sony UI/Logo.png,1.993,0.125,93.8,Image,FALSE,Color,1024,1024,1024,RGB16,PVRTC_RGB2,FALSE,FALSE,None,TRUE
Texture/SpotTexture.bmp,0.084,0.031,62.7,Image,TRUE,Color,256,1024,256,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Sony UI/Gate.png,0.032,0.008,75.4,Image,FALSE,Color,2048,1024,1024,Automatic,PVRTC_RGB2,FALSE,FALSE,None,TRUE
Texture/Particles/Smoke_NM.jpg,0.667,0.125,81.3,Bump,TRUE,Normal,2048,1024,1024,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Sony UI/bg0.png,1.603,0.100,93.8,Image,FALSE,Color,1024,1024,1024,RGB16,PVRTC_RGB2,FALSE,FALSE,None,TRUE
Texture/Enemy/Meat_Emissive.png,0.334,0.125,62.6,Image,TRUE,Color,2048,1024,1024,Automatic,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Normal/Rain_Streak_NM.png,0.002,0.000,87.7,Bump,TRUE,Normal,64,1024,64,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Roads/Normal/Road_Junction_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Enemy/Meat.png,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Game UI/Walking.png,0.008,0.002,76.8,Sprite,TRUE,UI,2048,1024,1024,Automatic,PVRTC_RGBA4,FALSE,FALSE,UI,TRUE
Texture/105 Main/Normal/105_Trims_Normal.tga,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Game UI/Map.png,1.709,0.500,70.8,Image,TRUE,Color,2048,1024,1024,Automatic,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Albedo/Rain_Streak_Mask.tga,0.006,0.001,83.8,Image,TRUE,Color,128,1024,128,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Player/Michael/Body_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/105 Main/Normal/105_Ext_Normal.tga,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Misc/Test Texture.png,0.667,0.125,81.3,Image,TRUE,Color,2048,1024,1024,Automatic,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/SchoolHouse/Albedo/WhiteShed_Alpha.tga,0.334,0.125,62.6,Image,TRUE,Color,512,1024,512,DXT1,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Misc/Black.png,0.001,0.000,87.3,Image,TRUE,Color,2048,1024,1024,Automatic,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Player/Michael/Skin_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Sony UI/Audio.png,1.993,0.125,93.8,Image,FALSE,Color,1024,1024,1024,RGB16,PVRTC_RGB2,FALSE,FALSE,None,TRUE
Texture/Particles/SpriteParticleCloudWhiteSoft.psd,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Game UI/Flashlight_Full.png,0.008,0.002,76.8,Sprite,TRUE,UI,64,1024,64,DXT5,PVRTC_RGBA4,FALSE,FALSE,UI,TRUE
Texture/Enemy/Meat_MOAR.tga,0.167,0.031,81.3,Image,TRUE,Color,256,1024,256,DXT5,PVRTC_RGBA4,TRUE,FALSE,None,TRUE
Texture/Foliage/Normal/MountainMapleBark_NM.png,0.011,0.002,82.5,Bump,TRUE,Normal,128,1024,128,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Game UI/Flashlight_Frame.png,0.008,0.002,76.8,Sprite,TRUE,UI,64,1024,64,DXT5,PVRTC_RGBA4,FALSE,FALSE,UI,TRUE
Texture/Game UI/Stamina_Frame.png,0.032,0.008,75.5,Sprite,TRUE,UI,2048,1024,1024,DXT5,PVRTC_RGBA4,FALSE,FALSE,UI,TRUE
